음식코드,분류,이름
1,일식,돈까스
2,일식,김치치즈나베
3,일식,규동
4,일식,초밥
5,일식,참치회
6,일식,가츠동
7,일식,덮밥
8,일식,우동
9,일식,일본식카레
10,일식,라멘
11,일식,불고기 돈부리
12,일식,연어덮밥
13,일식,가라아게
14,일식,덴뿌라
15,일식,스시
16,일식,텐동
17,일식,오코노미야끼
18,일식,규카츠
19,일식,타코야끼
20,일식,샤브샤브
21,일식,오니기리
22,일식,나베
23,일식,토리야끼
24,일식,카라아게
25,일식,우니
26,일식,고로케
27,양식,스테이크
28,양식,파스타
29,양식,리조또
30,양식,그라탕
31,양식,애플파이
32,양식,샌드위치
33,양식,팬케이크
34,양식,스파게티
35,양식,바비큐 치킨
36,양식,스프
37,양식,치킨 파르미지아나
38,양식,카프레제 샐러드
39,양식,스모크 스테이크
40,양식,피자
41,양식,라자냐
42,양식,비프 스튜
43,양식,오믈렛
44,양식,미트볼
45,양식,샐러드
46,양식,바비큐 버거
47,중식,짜장면
48,중식,탕수육
49,중식,짬뽕
50,중식,양장피
51,중식,짬뽕밥
52,중식,볶음밥
53,중식,군만두
54,중식,탕원순
55,중식,양꼬치
56,중식,칠리새우
57,중식,쟁반짜장
58,중식,탕수만두
59,중식,탕수게살
60,중식,깐쇼새우
61,중식,중화비빔밥
62,중식,깐풍기
63,중식,사천탕면
64,중식,고추잡채
65,중식,짜장밥
66,중식,팔보채
67,중식,마파두부
68,중식,볶음우동
69,중식,닭강정
70,중식,잡채밥
71,한식,김치찌개
72,한식,불고기
73,한식,비빔밥
74,한식,된장찌개
75,한식,갈비
76,한식,갈비찜
77,한식,해물파전
78,한식,삼겹살
79,한식,삼계탕
80,한식,잡채
81,한식,순두부찌개
82,한식,계란말이
83,한식,소고기국밥
84,한식,김치전
85,한식,감자조림
86,한식,꽁치조림
87,한식,고등어조림
88,한식,김치볶음밥
89,한식,동태찌개
90,한식,양념치킨
91,한식,김치찜
92,한식,고추장찌개
93,한식,낙지볶음
94,한식,코다리조림
95,한식,생선구이
96,한식,닭발볶음
97,한식,돼지국밥
98,한식,갈비탕
99,한식,곰탕
100,한식,해물찜
101,한식,매운탕
102,한식,두부김치
103,한식,곱창전골
104,한식,계란찜
105,한식,족발
106,한식,보쌈
107,아시안,마라탕
108,아시안,마라샹궈
109,아시안,꿔바로우
110,아시안,중경소면
111,아시안,샤오롱빠오
112,아시안,우육면
113,아시안,하노이 볶음밥
114,아시안,썸머롤
115,아시안,쌀국수
116,아시안,월남쌈
117,아시안,분짜
118,아시안,팟타이
119,아시안,하이산볶음밥
120,분식,떡볶이
121,분식,튀김
122,분식,김밥
123,분식,순대
124,분식,돈까스
125,분식,오뎅
126,패스트푸드,햄버거
127,패스트푸드,피자
128,패스트푸드,감자튀김
129,패스트푸드,핫도그
130,패스트푸드,치킨텐더
131,패스트푸드,크레페
